epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.636,1.31971,1.98749,1.10014,0.48537,0.48732,0.43305,0.29119,1.29402,1.2029,1.07369,0.000206755,0.000206755,0.000206755
2,102.196,1.1963,1.13332,1.03892,0.59624,0.59748,0.62793,0.4367,1.27622,1.02447,1.08883,0.000394542,0.000394542,0.000394542
3,152.342,1.17341,1.01838,1.03503,0.68245,0.69144,0.71375,0.50324,1.25644,0.91099,1.08229,0.000561703,0.000561703,0.000561703
4,202.719,1.14867,0.89853,1.0284,0.68893,0.69796,0.71915,0.50156,1.27905,0.91659,1.09316,0.000532187,0.000532187,0.000532187
5,252.797,1.12351,0.85063,1.01741,0.81197,0.76659,0.83612,0.5902,1.2264,0.77876,1.06806,0.00050125,0.00050125,0.00050125
6,302.872,1.10672,0.77807,1.01159,0.82321,0.78692,0.86023,0.61267,1.22976,0.76201,1.07329,0.000470312,0.000470312,0.000470312
7,352.901,1.09681,0.755,1.01075,0.80967,0.81697,0.85779,0.61847,1.21309,0.74307,1.05793,0.000439375,0.000439375,0.000439375
8,402.896,1.06499,0.71675,0.99602,0.81086,0.83042,0.86817,0.62695,1.18637,0.70649,1.05377,0.000408438,0.000408438,0.000408438
9,452.803,1.03863,0.67413,0.98595,0.83897,0.85028,0.89641,0.65385,1.17416,0.70982,1.04885,0.0003775,0.0003775,0.0003775
10,502.742,1.04103,0.67146,0.98328,0.86686,0.81243,0.89092,0.65031,1.16242,0.68671,1.03826,0.000346563,0.000346563,0.000346563
11,549.727,1.03901,0.61152,0.99581,0.815,0.85036,0.89154,0.64708,1.17451,0.68328,1.05437,0.000315625,0.000315625,0.000315625
12,596.615,1.02145,0.59082,0.98876,0.84261,0.86302,0.89369,0.64973,1.15715,0.65625,1.03571,0.000284688,0.000284688,0.000284688
