epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.619,1.32611,2.00096,1.1002,0.54433,0.51011,0.44951,0.30732,1.26832,1.14223,1.05466,0.000206755,0.000206755,0.000206755
2,102.07,1.19685,1.15849,1.04192,0.59841,0.53015,0.57009,0.38894,1.29131,1.04643,1.06609,0.000394542,0.000394542,0.000394542
3,152.157,1.16875,1.00688,1.03505,0.62976,0.70958,0.69883,0.47086,1.27431,0.95996,1.07726,0.000561703,0.000561703,0.000561703
4,202.336,1.14318,0.90232,1.02473,0.70884,0.71505,0.74487,0.51425,1.23901,0.86802,1.06068,0.000532187,0.000532187,0.000532187
5,252.481,1.12754,0.8369,1.0224,0.80251,0.70749,0.80214,0.57093,1.2127,0.81566,1.03958,0.00050125,0.00050125,0.00050125
6,302.377,1.11638,0.79608,1.01441,0.78276,0.70766,0.79383,0.5574,1.26251,0.79677,1.05995,0.000470312,0.000470312,0.000470312
7,352.176,1.09673,0.75968,1.00849,0.8262,0.76957,0.84011,0.60013,1.18253,0.74734,1.03137,0.000439375,0.000439375,0.000439375
8,402.064,1.07368,0.71806,1.00358,0.81855,0.83206,0.86776,0.62592,1.16331,0.724,1.03071,0.000408438,0.000408438,0.000408438
9,451.981,1.05395,0.69237,0.99445,0.80979,0.81564,0.86653,0.627,1.15011,0.71038,1.02723,0.0003775,0.0003775,0.0003775
10,501.929,1.0295,0.66589,0.9822,0.82005,0.83324,0.88502,0.64726,1.14148,0.6736,1.02414,0.000346563,0.000346563,0.000346563
11,549.109,1.03557,0.61595,0.99338,0.82979,0.82404,0.87025,0.62898,1.14556,0.67771,1.0213,0.000315625,0.000315625,0.000315625
12,595.918,1.01431,0.58977,0.98432,0.84597,0.86791,0.89214,0.64791,1.13569,0.66735,1.016,0.000284688,0.000284688,0.000284688
13,642.747,1.00636,0.58466,0.97801,0.85641,0.86694,0.90134,0.66753,1.11957,0.63945,1.00901,0.00025375,0.00025375,0.00025375
14,689.638,0.98409,0.55636,0.9751,0.87113,0.85147,0.90261,0.66454,1.12442,0.63117,1.01148,0.000222813,0.000222813,0.000222813
15,736.465,0.96596,0.53689,0.96565,0.87909,0.85791,0.90911,0.67121,1.11174,0.61527,1.00364,0.000191875,0.000191875,0.000191875
16,783.31,0.97406,0.51848,0.96805,0.86691,0.8676,0.9142,0.67873,1.11151,0.60495,1.00171,0.000160938,0.000160938,0.000160938
17,830.114,0.96588,0.51887,0.97005,0.88046,0.87889,0.91991,0.68262,1.09671,0.60216,0.9961,0.00013,0.00013,0.00013
18,877.09,0.94152,0.49982,0.95557,0.89431,0.86813,0.92499,0.68966,1.0921,0.58581,0.99457,9.90625e-05,9.90625e-05,9.90625e-05
19,923.908,0.92504,0.48162,0.95531,0.89846,0.86793,0.92866,0.70012,1.08568,0.57931,0.99369,6.8125e-05,6.8125e-05,6.8125e-05
20,970.652,0.93191,0.48383,0.95817,0.89014,0.8843,0.93189,0.6981,1.08102,0.56911,0.99214,3.71875e-05,3.71875e-05,3.71875e-05
