epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.9987,1.3221,1.97646,1.10202,0.44099,0.45856,0.39439,0.26679,1.2774,1.23493,1.06227,0.000206755,0.000206755,0.000206755
2,101.903,1.19036,1.13508,1.04086,0.55004,0.55683,0.55929,0.38078,1.25766,1.00623,1.05668,0.000394542,0.000394542,0.000394542
3,152.613,1.17977,1.02457,1.03621,0.68684,0.65184,0.68399,0.46743,1.27222,0.95585,1.06204,0.000561703,0.000561703,0.000561703
4,202.875,1.15455,0.90808,1.02753,0.6929,0.6595,0.71192,0.49053,1.24781,0.89759,1.06568,0.000532187,0.000532187,0.000532187
5,253.149,1.12446,0.84558,1.02259,0.71453,0.74314,0.75916,0.53051,1.22133,0.82472,1.05213,0.00050125,0.00050125,0.00050125
6,303.272,1.11571,0.78153,1.01462,0.75232,0.74815,0.8026,0.55876,1.21573,0.77455,1.04595,0.000470312,0.000470312,0.000470312
7,353.282,1.09256,0.75451,1.00966,0.77042,0.77886,0.81578,0.58236,1.20157,0.76891,1.03675,0.000439375,0.000439375,0.000439375
8,403.299,1.06664,0.71044,0.9951,0.79529,0.7853,0.82125,0.57975,1.19225,0.75238,1.04148,0.000408438,0.000408438,0.000408438
9,453.475,1.04864,0.67878,0.98923,0.82324,0.78748,0.85338,0.61239,1.17289,0.70738,1.02485,0.0003775,0.0003775,0.0003775
10,503.521,1.03293,0.66131,0.98309,0.80783,0.79746,0.83624,0.59674,1.17553,0.70448,1.02919,0.000346563,0.000346563,0.000346563
11,550.626,1.03135,0.60831,0.99274,0.81553,0.82519,0.85739,0.61731,1.16833,0.69536,1.02975,0.000315625,0.000315625,0.000315625
12,597.602,1.00616,0.58857,0.97625,0.82765,0.83869,0.87004,0.63047,1.15216,0.65929,1.01903,0.000284688,0.000284688,0.000284688
13,644.491,1.00269,0.56519,0.9786,0.84393,0.8304,0.87898,0.63359,1.1493,0.65165,1.01753,0.00025375,0.00025375,0.00025375
14,691.642,0.98811,0.55691,0.97244,0.82505,0.85247,0.87734,0.63998,1.14142,0.64521,1.01825,0.000222813,0.000222813,0.000222813
15,738.52,0.96792,0.53847,0.96657,0.82381,0.85155,0.87534,0.63955,1.13265,0.63562,1.02021,0.000191875,0.000191875,0.000191875
16,785.311,0.95746,0.5177,0.96236,0.83917,0.85582,0.89239,0.65288,1.12591,0.61716,1.01252,0.000160938,0.000160938,0.000160938
17,832.229,0.9496,0.50166,0.96053,0.8493,0.8603,0.89309,0.65555,1.1244,0.61015,1.01072,0.00013,0.00013,0.00013
18,878.902,0.92492,0.48631,0.94714,0.85801,0.85139,0.89678,0.66428,1.11728,0.59491,1.00373,9.90625e-05,9.90625e-05,9.90625e-05
19,925.725,0.92732,0.47849,0.95005,0.84519,0.86569,0.89863,0.66539,1.1059,0.58983,1.00034,6.8125e-05,6.8125e-05,6.8125e-05
20,972.5,0.92315,0.48349,0.95291,0.86577,0.85455,0.90343,0.67194,1.10425,0.5803,1.00068,3.71875e-05,3.71875e-05,3.71875e-05
