epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.1486,1.31137,1.98772,1.09704,0.4525,0.51488,0.45683,0.31303,1.28782,1.17056,1.07042,0.000206755,0.000206755,0.000206755
2,100.985,1.20406,1.16428,1.04931,0.58213,0.56438,0.59494,0.41358,1.27431,0.98944,1.06902,0.000394542,0.000394542,0.000394542
3,150.582,1.18414,1.03082,1.03647,0.68898,0.65261,0.68552,0.4757,1.24481,0.94266,1.07421,0.000561703,0.000561703,0.000561703
4,200.363,1.13035,0.89942,1.01604,0.66412,0.7153,0.73172,0.51397,1.24204,0.90033,1.07757,0.000532187,0.000532187,0.000532187
5,250.077,1.13935,0.8489,1.02375,0.76296,0.75761,0.80631,0.56896,1.21764,0.82115,1.05737,0.00050125,0.00050125,0.00050125
6,299.685,1.10368,0.78522,1.01026,0.74876,0.78305,0.81494,0.57743,1.21525,0.8071,1.05916,0.000470312,0.000470312,0.000470312
7,349.526,1.09648,0.75109,1.00605,0.80481,0.77652,0.8385,0.59865,1.19561,0.77812,1.04945,0.000439375,0.000439375,0.000439375
8,399.32,1.06219,0.71939,0.99653,0.81525,0.81181,0.86549,0.61946,1.18929,0.74798,1.04529,0.000408438,0.000408438,0.000408438
9,449.002,1.04897,0.695,0.99192,0.8325,0.82605,0.86921,0.62411,1.19855,0.75375,1.04474,0.0003775,0.0003775,0.0003775
10,498.698,1.0326,0.66896,0.98183,0.84305,0.83846,0.88244,0.6415,1.15457,0.70734,1.03589,0.000346563,0.000346563,0.000346563
11,545.515,1.02674,0.61653,0.98719,0.83814,0.82144,0.87326,0.63088,1.1591,0.72165,1.03347,0.000315625,0.000315625,0.000315625
12,591.968,1.01561,0.59038,0.97974,0.84052,0.84767,0.89046,0.64985,1.16095,0.68365,1.0347,0.000284688,0.000284688,0.000284688
13,638.573,1.00032,0.58019,0.97487,0.83912,0.86067,0.90286,0.65691,1.14981,0.66601,1.03129,0.00025375,0.00025375,0.00025375
14,685.022,0.98494,0.55317,0.96958,0.87102,0.83255,0.89597,0.66099,1.13973,0.65888,1.03422,0.000222813,0.000222813,0.000222813
15,731.533,0.96656,0.53205,0.9641,0.84823,0.87155,0.90637,0.67086,1.13699,0.63646,1.02827,0.000191875,0.000191875,0.000191875
16,778.003,0.97086,0.53517,0.9664,0.87794,0.85543,0.91819,0.67789,1.11914,0.6071,1.0214,0.000160938,0.000160938,0.000160938
17,824.566,0.9448,0.50728,0.95608,0.85185,0.87164,0.90389,0.67044,1.12445,0.62994,1.01793,0.00013,0.00013,0.00013
18,870.938,0.93578,0.49735,0.95053,0.86149,0.88594,0.91545,0.6811,1.11748,0.59703,1.01713,9.90625e-05,9.90625e-05,9.90625e-05
19,917.478,0.9226,0.48065,0.94951,0.8575,0.89476,0.92226,0.68883,1.1064,0.60109,1.01096,6.8125e-05,6.8125e-05,6.8125e-05
20,963.939,0.91747,0.47948,0.9482,0.88263,0.87005,0.918,0.68952,1.09979,0.59739,1.00972,3.71875e-05,3.71875e-05,3.71875e-05
